product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/puma-hustle-v2-wns-running-shoes-women/p/itmd39005230fde5?pid=SHOG5HFRAWZHJTHX&lid=LSTSHOG5HFRAWZHJTHX4Z3WBS&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_E5q91K8_ytxpMiTxjmZGUxujcwpdcUaSO3T1l3A91ib5q_EPxycg7mjl70UPjITpu6VvHR_Bh32gmQ8GOJT6KfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=hjyp7x5tbk0000001754322719102&qH=32e27b1148959538,Hustle V2 Wns Running Shoes For Women,PUMA ,1400,0.64,4.4,17370
https://www.flipkart.com/hrx-hrithik-roshan-059-01-running-shoes-women/p/itm26b8d4a377133?pid=SHOGRENUHF44HHKH&lid=LSTSHOGRENUHF44HHKHU0INJA&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_E5q91K8_ytxpMiTxjmZGUxujcwpdcUaSO3T1l3A91iaRmnnd8A8FfF8SOSYvWb7yroUKGwxKAsg9LEsIlPqcRA%3D%3D&ppt=sp&ppn=sp&ssid=hjyp7x5tbk0000001754322719102&qH=32e27b1148959538,-059 01 Running Shoes For Women,HRX by Hrithik Roshan ,1332,0.64,4.2,2348
https://www.flipkart.com/asian-firefly-04-white-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itm508025c63da8f?pid=SHOGGG7EWSUSMM89&lid=LSTSHOGGG7EWSUSMM89E8GLWR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=943971f5-6966-4f00-90e8-950d77507c39.SHOGGG7EWSUSMM89.SEARCH&ppt=sp&ppn=sp&ssid=hjyp7x5tbk0000001754322719102&qH=32e27b1148959538,"Firefly-04 White Sports,Gym,Jogging,Walking,Training,Stylish Running Shoes For Women",asian ,866,0.42,4.1,19425
https://www.flipkart.com/carrito-lightweight-comfortable-antiskid-casual-sneaker-shoes-women-s-girl-s-training-gym-women/p/itm440f5ee2f1ccf?pid=SHOGTEXGMBCGZYU8&lid=LSTSHOGTEXGMBCGZYU8SNONSJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=943971f5-6966-4f00-90e8-950d77507c39.SHOGTEXGMBCGZYU8.SEARCH&ppt=sp&ppn=sp&ssid=hjyp7x5tbk0000001754322719102&qH=32e27b1148959538,Lightweight and Comfortable Antiskid Casual Sneaker/ Shoes for Women's & Girl's Training & Gym Shoes For Women,CARRITO ,699,0.3,3,3
https://www.flipkart.com/asian-firefly-09-navy-gym-sports-walking-stylish-running-shoes-women/p/itm0ca2235634b47?pid=SHOGN9YD729RZ7AY&lid=LSTSHOGN9YD729RZ7AY0EOQTQ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=en_E5q91K8_ytxpMiTxjmZGUxujcwpdcUaSO3T1l3A91iYbAH2LJiJV0LpHa7l-SzN9l3vEN9tFSgC56lOAf_DSan3Gaq_wzx4HJysDmGalzMk%3D&ppt=sp&ppn=sp&ssid=hjyp7x5tbk0000001754322719102&qH=32e27b1148959538,"Firefly-09 Navy Gym,Sports,Walking,Stylish Running Shoes For Women",asian ,822,0.45,4.2,14535
https://www.flipkart.com/off-limits-gladiator-w-running-shoes-women/p/itmabedf47379ec7?pid=SHOHBYFZ245DX2HX&lid=LSTSHOHBYFZ245DX2HXHFBGZH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_E5q91K8_ytxpMiTxjmZGUxujcwpdcUaSO3T1l3A91ibgSuM7d_ykYYlaBsmWsqSxjIsCypi0c0_UtraUr4bdfg%3D%3D&ppt=sp&ppn=sp&ssid=hjyp7x5tbk0000001754322719102&qH=32e27b1148959538,GLADIATOR W Running Shoes For Women,OFF LIMITS ,1599,0.75,,
https://www.flipkart.com/apippo-black-shoes-women-training-gym/p/itm744a7b9fd623b?pid=SHOHEHJY7FMM2ARH&lid=LSTSHOHEHJY7FMM2ARHHAB8MI&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=943971f5-6966-4f00-90e8-950d77507c39.SHOHEHJY7FMM2ARH.SEARCH&ppt=sp&ppn=sp&ssid=hjyp7x5tbk0000001754322719102&qH=32e27b1148959538,Black shoes for women Training & Gym Shoes For Women,APIPPO ,900,0.54,,
https://www.flipkart.com/free-kicks-sneakers-women/p/itmee1db8b550386?pid=SHOHDNMZEZU2YW9E&lid=LSTSHOHDNMZEZU2YW9ERWPV3F&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=943971f5-6966-4f00-90e8-950d77507c39.SHOHDNMZEZU2YW9E.SEARCH&ppt=sp&ppn=sp&ssid=hjyp7x5tbk0000001754322719102&qH=32e27b1148959538,Sneakers For Women,Free Kicks ,549,0.77,,
https://www.flipkart.com/hrx-hrithik-roshan-314-04-running-shoes-women/p/itmedbdfa9482f00?pid=SHOHE6NZZ5WRD9FN&lid=LSTSHOHE6NZZ5WRD9FNIXSQS5&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=943971f5-6966-4f00-90e8-950d77507c39.SHOHE6NZZ5WRD9FN.SEARCH&ppt=sp&ppn=sp&ssid=hjyp7x5tbk0000001754322719102&qH=32e27b1148959538,-314 04 Running Shoes For Women,HRX by Hrithik Roshan ,1332,0.76,,
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-pink-jogging-walking-gym-party/p/itmfgnquqjghwjzc?pid=SHOEEF3QZSZZY6HK&lid=LSTSHOEEF3QZSZZY6HKSREXZ0&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=943971f5-6966-4f00-90e8-950d77507c39.SHOEEF3QZSZZY6HK.SEARCH&ppt=sp&ppn=sp&ssid=hjyp7x5tbk0000001754322719102&qH=32e27b1148959538,"Cute sports shoes for women | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Lace up Lightweight pink shoes for jogging, walking, gym & party Running Shoes For Women",asian ,709,0.11,4.2,93112
